variant,tier_clients,duration_s,client_sent_msgs,server_count,server_avg_ns,server_max_ns
epoll_pool_lockfree,1,5.0,936782,934062,139,117037
epoll_pool_lockfree,2,5.0,1061983,969799,138,109313
epoll_pool_lockfree,4,5.0,2743405,1151321,134,40325
epoll_pool_lockfree,8,5.0,982142,931219,134,32992
epoll_pool_lockfree,16,5.0,1056347,955061,150,88935
epoll_pool_lockfree,32,5.0,1188773,1029633,141,19947
epoll_nopool_lockfree,1,5.0,985709,980787,244,40755
epoll_nopool_lockfree,2,5.0,1978267,1153019,244,43831
epoll_nopool_lockfree,4,5.0,2756471,1118570,240,64320
epoll_nopool_lockfree,8,5.0,982026,930722,246,65843
epoll_nopool_lockfree,16,5.0,1049404,939310,262,40666
epoll_nopool_lockfree,32,5.0,1179129,987724,261,47228
epoll_pool_mutex,1,5.0,1002882,998003,477,43741
epoll_pool_mutex,2,5.0,2023874,1089018,511,79317
epoll_pool_mutex,4,5.0,2689294,,,
epoll_pool_mutex,8,5.0,981042,911856,510,1467975
epoll_pool_mutex,16,5.0,291647,,,
epoll_pool_mutex,32,5.0,1171280,960807,524,57387
blocking_tcp_pool_lockfree,1,5.0,511058,,,
blocking_tcp_pool_lockfree,2,5.0,178646,,,
blocking_tcp_pool_lockfree,4,5.0,229279,,,
blocking_tcp_pool_lockfree,8,5.0,219938,,,
blocking_tcp_pool_lockfree,16,5.0,272621,,,
blocking_tcp_pool_lockfree,32,5.0,291242,,,
poll_pool_lockfree,1,5.0,886413,884917,135,23153
poll_pool_lockfree,2,5.0,2000898,1218312,130,36308
poll_pool_lockfree,4,5.0,2730077,1166673,135,26569
poll_pool_lockfree,8,5.0,985626,916878,132,16400
poll_pool_lockfree,16,5.0,1056091,953167,140,22882
poll_pool_lockfree,32,5.0,888856,,,
