kind,size_bytes,size_mib,ns_per_touch
normal,4096,0.00390625,8.75
normal,8192,0.0078125,2.5
normal,16384,0.015625,1.875
normal,32768,0.03125,1.5625
normal,65536,0.0625,5.55469
normal,131072,0.125,7.59375
normal,262144,0.25,8.49219
normal,524288,0.5,8.74707
normal,1048576,1,8.62891
normal,4194304,4,8.94604
normal,16777216,16,11.613
normal,33554432,32,15.7188
normal,67108864,64,16.9802
normal,134217728,128,15.9835
normal,268435456,256,16.5369
normal,536870912,512,16.6812
normal,1073741824,1024,16.4666
